May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:56:25-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=ACTIVE, CurrState=ACTIVEPEND, InputEvent=TCP_INCOMING, Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, VpnInstance=BEVrf)
May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, VpnInstance=BEVrf)
May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.190.65, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=Eth-Trunk56.2044)
May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-composer-us-east1-01)
May  6 2025 21:56:58-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.110.153, SourceInterface=Eth-Trunk56.2058, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:56:58-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:56:58-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-devqa-sa-east1-01)
May  6 2025 21:56:59-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:56:58-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-devqa-sa-east1-01)
