May  6 2025 21:55:29-03:00 WAN-RJ-CIR-02 %%01FEI_COMM/6/EVENT_LOG_FWD_FRAME_SMOOTH(l):CID=0x807f0489;The state of data-synchronize changed. (Slot=1, State=END)
May  6 2025 21:56:08-03:00 WAN-RJ-CIR-02 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304e9;The router received a NOTIFICATION from the peer. (Peer=169.254.106.185, SourceInterface=-, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:56:08-03:00 WAN-RJ-CIR-02 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304e9;The state of the peer changed after receiving an event. (PrevState=ESTABLISHED, CurrState=IDLE, InputEvent=RECV_NOTIF, Peer=169.254.106.185, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 21:56:08-03:00 WAN-RJ-CIR-02 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304e9;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.106.185, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:56:08-03:00 WAN-RJ-CIR-02 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304e9-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.106.185, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-devqa-us-east1-02)
May  6 2025 21:56:09-03:00 WAN-RJ-CIR-02 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:56:08-03:00 WAN-RJ-CIR-02 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304e9-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.106.185, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-devqa-us-east1-02)
May  6 2025 21:56:15-03:00 WAN-RJ-CIR-02 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:56:17-03:00 WAN-RJ-CIR-02 %%01FEI_COMM/6/EVENT_LOG_FWD_FRAME_SMOOTH(l):CID=0x807f0489;The state of data-synchronize changed. (Slot=1, State=BEGIN)
May  6 2025 21:56:20-03:00 WAN-RJ-CIR-02 %%01BGP/6/NOTIFY_SEND(l):CID=0x801304e9;Sent a NOTIFICATION to the peer. (Peer=169.254.106.185, SourceInterface=-, ErrorCode=6, SubErrorCode=7,NotifyInfo=CEASE/Connection Collision Resolution, VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:56:32-03:00 WAN-RJ-CIR-02 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304e9;The router received a NOTIFICATION from the peer. (Peer=169.254.59.129, SourceInterface=-, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
