,hostname,ip,tag,message,group,container_timestamp,alarm_type,event_type,event_info,description,@timestamp
0,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/LOGIN(s):CID=0x80ca2713;The user succeeded in logging in to VTY0. (UserType=SSH, UserName=suporte, AuthenticationMethod=Local-user, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:34.664Z,CID=0x80ca2713,LOGIN,,,2025-05-06T21:00:34-0300
1,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=screen-length 0 temporary, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:34.763Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:34-0300
2,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display bgp peer, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:34.829Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:34-0300
3,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display bgp vpnv4 all peer, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:34.894Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:34-0300
4,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display ip vpn-instance, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:34.958Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:35-0300
5,WAN-RJ-ION-02,10.255.128.28,SSH,"%%01SSH/5/SSH_USER_LOGIN(s):CID=0x80930466;The SSH user succeeded in logging in. (ServiceType=stelnet, UserName=suporte, UserAddress=10.19.128.234, LocalAddress=10.1.254.242, VPNInstanceName=__LOCAL_OAM_VPN__)",WAN,2025-05-06T21:00:35.125Z,CID=0x80930466,SSH_USER_LOGIN,,,2025-05-06T21:00:35-0300
6,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display ip routing-table, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:35.602Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:35-0300
7,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display lldp neighbor, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:35.662Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:35-0300
8,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=screen-length 0 temporary, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:35.717Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:35-0300
9,WAN-RJ-ION-02,10.255.128.28,CLI,"%%01CLI/5/CMDRECORD(s):CID=0x80ca2713;Recorded command information. (Task=VTY0, RemoteIp=10.19.128.234, VpnName=__LOCAL_OAM_VPN__, User=suporte, AuthenticationMethod=Local-user, Command=display current-configuration, LocalIp=10.1.254.242)",WAN,2025-05-06T21:00:35.780Z,CID=0x80ca2713,CMDRECORD,,,2025-05-06T21:00:35-0300
